Date,Source,Search term,URL,Title,Brief,Article
2023-07-13,Jyllands_posten,Kunstig intelligens,https://jyllands-posten.dk/tech/ECE16045090/kunstig-intelligens-skal-bruges-med-omtanke-kan-gaa-ud-over-bestemte-befolkningsgrupper/,Kunstig intelligens skal bruges med omtanke: Kan gå ud over bestemte befolkningsgrupper,Kunstig intelligens risikerer at gøre det sværere for minoritetsgrupper at få adgang til lån og services,"Risikoen er i centrum hos Finanstilsynet, som derfor holder bankerne i kort snor, når det gælder brugen af kunstig intelligens. SAS Institute advarer om faldgruber.
Kunstig intelligens risikerer at gøre det sværere for minoritetsgrupper at få adgang til lån og services på lige fod med andre.
Det skyldes, at de kunstige hjerner er baseret på historiske data, som ikke nødvendigvis er repræsentative, og det kan forhindre bestemte befolkningsgrupper i at forbedre deres økonomi."
2023-11-16,Jyllands_posten,Kunstig intelligens,https://jyllands-posten.dk/indland/ECE16609447/regeringen-vil-have-flere-robotter-i-danske-virksomheder/,Regeringen vil have flere robotter i danske virksomheder,"Kunstig intelligens skal desuden udnyttes på en ansvarlig måde, påpeger Marie Bjerre, og den hastigt","25 initiativer i en ny digitaliseringsstrategi skal ruste Danmark bedre på blandt andet kunstig intelligens.
Regeringen er klar med en ny digitaliseringsstrategi, der blandt andet skal udbrede brugen af robotter i virksomheder.
Digitaliseringsminister Marie Bjerre (V) siger på et pressemøde, at små- og mellemstore virksomheder får mulighed for at låne en robot fremover.
Robotterne skal blandt andet hjælpe virksomhederne med at indberette oplysninger.
- Der er en masse konkrete potentialer for digitaliseringen på erhvervsområdet på alle leder og kanter, siger hun.
Erhvervsminister Morten Bødskov (S) siger, at digitalisering er nøglen til at bevare forspringet på ”vores styrkepositioner” og også på den grønne omstilling.
Han uddyber, at robotterne blandt andet kan hjælpe med papirarbejde, som mennesker i dag håndterer.
- Mange af de initiativer, der er i strategien, vil være en hjælp for små- og mellemstore virksomheder. Det vil også hjælpe iværksættere med at realisere deres drømme, siger han.
Den nye digitaliseringsstrategi har 25 initiativer, og der skal bruges 800 millioner kroner på den. Robotinitiativet afsættes der 24 millioner kroner til.
Kunstig intelligens skal desuden udnyttes på en ansvarlig måde, påpeger Marie Bjerre, og den hastigt fremadstormende teknologi omtales også i strategien.
Der afsættes 55 millioner kroner til en ”strategisk indsats for kunstig intelligens”.
Marie Bjerre uddyber, at der skal laves nogle ”regulatoriske sandkasser” for at sikre, at teknologien bruges på en ansvarlig måde. Men hun bliver ikke konkret på, hvad den strategiske indsats helt præcist skal munde ud i.
En ekspertgruppe i ChatGPT skal desuden undersøge, hvordan snyd med kunstig intelligens kan forhindres på skoler og institutioner.
Der er også afsat 100 millioner kroner fra forskningsreserven til forskning og udvikling af kunstig intelligens.
Det dyreste punkt i strategien er, at teknologiforståelse skal være et valgfag i folkeskolen. Det afsættes der 160 millioner kroner til.
Hos Dansk Industri ser branchedirektør for DI Digital Camilla Ley Valentin potentiale i strategien. Men hun savner større fokus på kunstig intelligens:
- Strategien indeholder mange gode initiativer. Men kunstig intelligens er tidens absolut vigtigste tema, og jeg havde gerne set, at det fyldte mere i strategien og med mere ambitiøse initiativer, siger hun i en skriftlig kommentar og tilføjer, at det dog er godt med den strategiske indsats på kunstig intelligens.
/ritzau/"
2023-12-05,Jyllands_posten,Kunstig intelligens,https://jyllands-posten.dk/debat/breve/ECE16655417/brug-dog-kunstig-intelligens-til-ejendomsvurderinger/,Brug dog kunstig intelligens til ejendomsvurderinger,Men måske skulle man erstatte den menneskelige hjerne med kunstig intelligens (AI).,"
Det fortsatte kaos om ejendomsvurderingerne har endnu en gang vist, hvor svært det er at give boligejerne en realistisk og forståelig vurdering.
Men måske skulle man erstatte den menneskelige hjerne med kunstig intelligens (AI). Det er jo netop en styrke ved kunstig intelligens, at den kan gennemskue og analysere store datamængder.
Så hvis man samlede data om f.eks. salgspriser, BBR-oplysninger, beliggenhed og andre kriterier, som man har anvendt i forbindelse med det nye vurderingssystem, så kunne den kunstige intelligens finde en logisk sammenhæng og logaritmer, der kunne udmønte sig i vurderinger, der gav mening for den enkelte husejer (og deres naboer).
Kunstig intelligens kunne samtidig arbejde den anden vej i systemet og udarbejde et dokumentationssystem, der kunne anvendes, når boligejerne efterspørger begrundelser/dokumentation for den beregnede vurdering.
Lad os dog udnytte teknologiens muligheder og aflaste skattemyndighederne.
"
2023-07-21,Jyllands_posten,Kunstig intelligens,https://jyllands-posten.dk/tech/ECE16223671/otte-aar-med-kunstig-intelligens-til-hrafdelingen-der-er-rigtig-mange-ting-der-kan-gaa-galt/,Er din kollega glad eller på vej over til konkurrenten? Det kan kunstig intelligens hjælpe med at svare på,Og der har meget tidligt været kunstig intelligens med i værktøjskassen. »Vi har brugt kunstig intelligens,"Den danske startup Peakon har satset på at bruge kunstig intelligens til at hjælpe virksomheder med at forstå deres ansatte. Det giver helt nye muligheder, men kræver også stor forsigtighed, er erfaringen.
Hvordan har dine medarbejdere det? Er de glade eller på vej over til konkurrenten?
Det spørgsmål besluttede den danske startup Peakon sig for at besvare tilbage i 2015, og nu kan det ske endnu mere præcist – ved hjælp af de nye muligheder med kunstig intelligens, der er kommet væltende.
»Det her er en helt transformativ"
2023-06-19,Jyllands_posten,Kunstig intelligens,https://jyllands-posten.dk/debat/international/ECE16089868/fire-farer-ved-kunstig-intelligens/,Fire farer ved kunstig intelligens,"Kunstig intelligens vil – på godt og ondt – forandre vores liv så eftertrykkeligt og så hurtigt, at vi","Kunstig intelligens kan bringe verden helt nye steder hen og være en enorm innovativ kraft. Men på den negative side giver det også langt mere grænseoverskridende muligheder for svindel, falske informationer og forbrydelser.
Gennem tidenhar teknologiske gennembrud skabt nye muligheder for opfindelser, tilpasninger og fremgang og samtidig forårsaget uigenkaldelig skade på mange menneskers liv og levebrød.
Sådanne gennembrud har testet den bemærkelsesværdige evne, som mennesker og samfund har til at tilpasse sig efter den uro, der er forbundet med"
2024-02-29,Jyllands_posten,Kunstig intelligens,https://jyllands-posten.dk/tech/ECE16893969/ekspertgruppe-raaber-op-danmark-skal-stille-flere-krav-til-techgiganterne/,Ekspertgruppe råber op: Danmark skal stille flere krav til tech-giganterne,"Kunstig intelligens har fordele – men der skal gøres meget mere ved de ulemper, teknologien også byder","Der skal strammes op med flere tiltag mod tech-giganternes måde at bruge kunstig intelligens på. Sådan lyder konklusionen fra en ekspertgruppe, som skal hjælpe regeringen, i en ny rapport.
Kunstig intelligens har fordele – men der skal gøres meget mere ved de ulemper, teknologien også byder på.
Mere præcist skal tech-giganterne holdes i kortere snor, for det er primært dem, der vil kunne rulle kunstig intelligens ud i stor skala og dermed også kunne påvirke samfundet negativt for eksempel gennem falske billeder"
2023-05-04,Jyllands_posten,Kunstig intelligens,https://jyllands-posten.dk/international/ECE15749831/harris-til-techtop-med-kunstig-intelligens-foelger-stort-ansvar/,Harris til techtop: Med kunstig intelligens følger stort ansvar,intelligens.,"Vi er opmærksomme på udfordringer, der kan komme med øget brug af kunstig intelligens, siger vicepræsident.
De store it-selskaber har både en moralsk, etisk og juridisk forpligtelse til at beskytte forbrugerne og samfundet mod de potentielle farer ved kunstig intelligens.
Det siger USA’s vicepræsident, Kamala Harris, torsdag i forbindelse med et møde med ledere fra nogle af USA’s store techselskaber.
- Den private sektor har et etisk, moralsk og juridisk ansvar for at sørge for tryghed og sikkerhed ved deres produkter, siger Harris i en udtalelse.
Vicepræsidenten mødtes torsdag med de øverste ledere fra Google, Microsoft, OpenAI og Anthropic. Det er nogle af de selskaber, der er førende inden for udvikling af kunstig intelligens.
OpenAI står bag robotten ChatGPT, der har fået stor opmærksomhed, siden den blev præsenteret i november.
Harris understreger, at kunstig intelligens har ”potentiale til at forbedre folks liv og løse nogle af samfundets største udfordringer”.
- Men samtidig har kunstig intelligens potentiale til på dramatisk vis at øge farerne ved tryghed og sikkerhed, overskride borgerrettigheder og retten til privatliv samt udhule befolkningens tillid og tiltro til demokratiet, siger hun.
Også præsident Joe Biden deltog kortvarigt i torsdagens såkaldte topmøde med de øverste it-chefer om kunstig intelligens.
Harris siger videre, at både hun og Biden er åbne over for at indføre ny lovgivning, der kan tackle de udfordringer, der måtte komme med en mere udbredt brug af kunstig intelligens.
Men det ser ud til, at EU kan komme USA i forkøbet.
EU-kommissær Margrethe Vestager, sagde søndag, at unionens medlemslande senere i år sandsynligvis vil nå til enighed om en politisk aftale, der vil bane vejen for den første mere omfattende lovgivning om kunstig intelligens.
Meldingen kom i kølvandet på en indledende aftale indgået i sidste uge vedrørende EU-lov om kunstig intelligens.
/ritzau/AFP"
2023-05-01,Jyllands_posten,Kunstig intelligens,https://jyllands-posten.dk/debat/kommentar/ECE15707185/derfor-er-kunstig-intelligens-overvurderet/,Derfor er kunstig intelligens overvurderet,"Kunstig intelligens er en gammel opfindelse, der har fået et nyt, smart navn.","Kunstig intelligens kommer heller ikke til at revolutionere verden.
Kunstig intelligens er en gammel opfindelse, der har fået et nyt, smart navn. På bunden af den kunstige intelligens gemmer der sig netop velkendte statistiske modeller med alle deres begrænsninger. Det nye er den moderne computerkraft, der både har givet modellerne meget mere data at lege med, men også har gjort det muligt eksempelvis at lave modeller med modeller indeni. Med andre ord kan modellen bruge forskellige modellers resultater og på den måde give en bedre forudsigelse, end den enkeltstående model kan.
I mindst 15 år har kunstig intelligens været et modeord, uden at det for alvor har gjort væsen af sig. Facebook har eksempelvis sat nogle af verdens skarpeste hjerner til at udvikle salgsmodeller, men hvor mange af os er reelt imponeret af de købsforslag, vi bliver præsenteret for? Og det, på trods af at Facebook har adgang til dybere og mere omfattende data om os, end nogen andre i verden kommer i nærheden af.
Statistiske modeller har nemlig det problem, at mennesker er den regularitet, som er grundantagelsen bag modellerne. Faktisk mente én af det 20. århundredes vigtigste økonomer Ludwig von Mises, at nationaløkonomisk videnskab skulle befris for matematiske modeller, fordi de bygger på falske antagelser om menneskets natur. Mennesket kan ikke modelleres. Den videnskabsteoretiske kamp tabte Mises noget så eftertrykkeligt, men alligevel må man efter mange årtier konstatere, at økonomer faktisk ikke er i stand til at forudsige noget som helst med deres modeller. Det burde mane til eftertanke.
Mennesket er et problem for matematiske modeller, men det kan naturen nu også være. Engang troede vi eksempelvis, at mennesket lige om lidt ville være i stand til at forudsige jordskælv, mens erkendelsen i dag snarere er noget i retning af, at det kommer vi vist ikke til. Det er et andet problem med matematiske modeller: De bygger ultimativt altid på idealiserede antagelser, og virkeligheden er ofte for kompleks til at blive modelleret.
Det gør nu ikke kunstig intelligens til en dårlig opfindelse. Siden 1800-tallet har menneskeheden år efter år været i stand til at effektivisere og producere mere og mere for mindre og mindre. I lufthavnslitteraturen kan man ofte læse, at det går stærkere og stærkere nu, og vi skal være opstillingsparate som aldrig før. Men det passer ganske enkelt ikke, at det går stærkere nu end tidligere. Selvom det er rigtigt, at computerprocessorer udvikler sig utroligt hurtigt, så er det rent faktuelt ikke noget, der afspejler sig i den samlede produktivitetsudvikling. Om noget går den langsommere.
Kunstig intelligens vil være med til at holde produktiviteten oppe. Den vil hjælpe med automatisering og bidrage til at ændre arbejdsmarkedet og indholdet af visse job. Ligesom så mange andre teknologier gennem de seneste 200 år. De samme 200 år burde have lært os på den ene side at besinde os på, at verden nok ikke går under af den nye teknologi og omvendt, at den heller ikke kommer til at revolutionere dens grundlæggende strukturer.
Det vigtigste i livet er stadig det samme. Kærlighed. Venskaber. Familie. At finde sin plads i samfundet og både gøre nytte og finde mening."
2023-05-31,Jyllands_posten,Kunstig intelligens,https://jyllands-posten.dk/international/ECE15928904/eu-og-usa-vil-have-retningslinjer-for-kunstig-intelligens/,Margrethe Vestager: EU og USA vil have retningslinjer for kunstig intelligens,EU og USA vil inden for de kommende uger udarbejde et udkast til etiske retningslinjer for kunstig intelligens,"Om få uger vil der være et udkast klar til etiske retningslinjer for kunstig intelligens, siger Vestager.
EU og USA vil inden for de kommende uger udarbejde et udkast til etiske retningslinjer for kunstig intelligens.
Det siger EU-Kommissionens næstformand Margrethe Vestager efter et møde med USA’s udenrigsminister, Antony Blinken, i Luleå i Sverige onsdag.
En endelig tekst, som firmaer og stater kan tilslutte sig, ventes klar ”meget, meget snart”, siger Vestager ifølge nyhedsbureauet Reuters.
Hun betegner kunstig intelligens som ”en total gamechanger”.
- Alle ved, at det her er den næste kraftfulde ting. Så inden for de næste uger vil vi komme med et udkast til etiske retningslinjer for kunstig intelligens, siger Vestager.
Blinken siger, at regeringer føler et ”presserende behov” for at handle, efterhånden som den nye teknologi bliver mere udbredt.
Det vil være frivilligt, om stater og virksomheder vil tilslutte sig de kommende retningslinjer.
EU er på vej med et lovforslag, der opstiller regler for ansigtsgenkendelse og biometrisk overvågning. Men det er stadig under behandling.
- I bedste fald vil det træde i kraft om to og et halvt til tre års tid. Det er tydeligvis for sent, siger Vestager ifølge Reuters.
- Vi bliver nødt til at gøre noget nu.
De to repræsentanter for EU og USA talte sammen under et møde i Trade and Technology Council (TTC), der fandt sted i Luleå i det nordlige Sverige onsdag.
Blinken siger på et pressemøde, at han forventer, at TTC har en vigtig rolle at spille i forhold til at sikre etiske retningslinjer på området, skriver nyhedsbureauet AFP.
/ritzau/"
2024-02-23,Jyllands_posten,Kunstig intelligens,https://jyllands-posten.dk/indland/ECE16877004/aarhus-universitet-tillader-kunstig-intelligens-til-bestemt-type-eksaminer/,Nyt tiltag på Aarhus Universitet ændrer eksaminer fuldstændig,Aarhus Universitet har lempet reglerne for brug af kunstig intelligens (AI).,"Nye regler har gjort det muligt for de studerende på Aarhus Universitet at bruge kunstig intelligens til bachelor-opgaver, specialer og ved afsluttende eksaminer på efter- og videreuddannelse.
Aarhus Universitet har lempet reglerne for brug af kunstig intelligens (AI).Reglernegælder først og fremmest de studerende, som skal aflevere deres bacheloropgaver og specialer denne sommer.
De studerende må fremover bruge kunstig intelligens som ChatGPT og andre former for generativ kunstig intelligens ved bachelor-opgaver, specialer, ved afsluttende eksaminer på efter- og videreuddannelse eller ved andre eksaminer, hvor det eksplicit er nævnt i kursusbeskrivelsen. Ved alle andre tilfælde er det stadig ikke talladt at bruge hjælpemidlet.
Det understreges af Aarhus Universitet, at brugen af AI tydeligt skal angives og at dette skal citeres korrekt. Hvis disse retningslinjer ikke følges, vil det betragtes som eksamenssnyd.
Niels Overgaard Lehmann, prodekan for uddannelse på fakultetet Arts, er formand for Aarhus Universitets arbejdsgruppe for implementering af kunstig intelligens. Han forklarer hvorfor det skal implementeres netop nu.
»I slutningen af 2022, hvor ChatGPT for alvor kom frem, holdt alle universiteter det ud i strakt arm. Hurtigt gik det op for os, at det kommer til at blive en stor del af vores studerendes fremtidige arbejdsliv. Vi skal give dem de bedst mulige kompetencer til det gældende arbejdsmarked. Derfor mener vi, at det her et et skridt i den rigtige retning.«
Tiltaget har mødt kritik fra forskellige sider, menNiels Overgaard Lehmann står fast på, at det er et vigtigt tiltag for at følge med udviklingen:
»Vi har mødt kritik i to former. På den ene side er der en gruppe, der frygter, at det her åbner op for en ladeport af snyd. På den anden side står en gruppe, der ikke mener, at vi implementerer det her hurtigt nok.«
Den sidste gruppe er prodekanNiels Overgaard Lehmann faktisk enig med. Han vil som leder af arbejdsgruppen arbejde for at gå efter mere implementering i fremtiden:
»Lige nu følger vi en model, der siger, at det er forbudt, medmindre det er tilladt, men på sigt vil vi gerne vende den om, så alt er tilladt, medmindre det specifikt er udtalt forbudt.«"
